model,condition,family,snr_db,n_utterances,ref_words,wer,substitution_rate,insertion_rate,deletion_rate,length_ratio,mean_cer
e_branchformer-clean-ft,babble_0db,babble,0.0,100,2357,1.446330080610946,0.6847687738650827,0.7539244802715316,0.007636826474331778,1.7462876537971999,0.9017919160459053
e_branchformer-clean-ft,babble_20db,babble,20.0,100,2357,0.12431056427662282,0.05388205345778532,0.06236741620704285,0.008061094611794654,1.0543063215952482,0.09028559826970656
e_branchformer-clean-ft,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.299109036911328,0.8748408994484514,0.40602460755197284,0.01824352991090369,1.387781077641069,0.8496120965016698
e_branchformer-clean-ft,clean,clean,,100,2357,0.0992787441663131,0.04624522698345354,0.04369961815867628,0.009333899024183284,1.034365719134493,0.06841231690531974
e_branchformer-clean-ft,codec_opus_6k,codec_opus_6k,,100,2357,0.1192193466270683,0.06321595248196861,0.04666949512091642,0.009333899024183284,1.0373355960967332,0.089825465511991
e_branchformer-clean-ft,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.7356809503606279,0.8638099278744167,0.8672040729741196,0.004666949512091642,1.862537123462028,1.085584171206939
e_branchformer-clean-ft,noise_-10db,noise,-10.0,100,2357,0.508273228680526,0.27916843445057277,0.08061094611794654,0.14849384811200678,0.9321170980059398,0.39060414831286044
e_branchformer-clean-ft,noise_-5db,noise,-5.0,100,2357,0.3466270683071701,0.2223165040305473,0.07424692405600339,0.05006364022061943,1.024183283835384,0.254716330384519
e_branchformer-clean-ft,noise_0db,noise,0.0,100,2357,0.1951633432329232,0.1103097157403479,0.06915570640644887,0.015697921086126432,1.0534577853203224,0.1322574827170573
e_branchformer-clean-ft,noise_20db,noise,20.0,100,2357,0.09885447602885024,0.044972422571064916,0.044972422571064916,0.008909630886720407,1.0360627916843446,0.06778969721406752
e_branchformer-clean-ft,packet_loss_30pct,packet_loss_30pct,,100,2357,0.13152312261349172,0.068731438268986,0.05388205345778532,0.008909630886720407,1.0449724225710648,0.0856800067174806
e_branchformer-clean-ft,reverb,reverb,,100,2357,0.11158252015273654,0.05854900296987696,0.041154009333899025,0.011879507848960543,1.0292745014849385,0.07612631415180161
e_branchformer-clean-ft,telephone,telephone,,100,2357,0.09800593975392448,0.044548154433602036,0.04412388629613916,0.009333899024183284,1.034789987271956,0.06760664059177145
